,cross_val_acc,training_acc,test_acc,train_size,solver,learning_rate_init,max_iter,momentum,hidden_layer_sizes
2782,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.9,"(13, 13)"
2783,0.4138135938135938,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.9,"(13, 13)"
2784,0.4132386585573147,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.9,"(13, 13)"
2785,0.45741226581552585,0.29142357059509916,0.42857142857142855,3428,sgd,1.0,50,0.9,"(13, 13, 13)"
2786,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.9,"(13, 13, 13)"
2787,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.9,"(13, 13, 13)"
2788,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.9,"(13, 13, 13)"
2789,0.3776610720373597,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.9,"(13, 13, 13)"
2790,0.3662099197744701,0.29142357059509916,0.42857142857142855,3428,sgd,1.0,50,0.9,"(130, 130, 130)"
2791,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.9,"(130, 130, 130)"
2792,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.9,"(130, 130, 130)"
2793,0.41343933039585207,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.9,"(130, 130, 130)"
2794,0.3754388498151375,0.4467153284671533,0.1816326530612245,685,sgd,1.0,50,0.9,"(130, 130, 130)"
2795,0.1852399222335758,0.0032088681446907816,0.42857142857142855,3428,sgd,1.0,50,0.9,"(130, 130, 130, 130)"
2796,0.09342803660400988,0.0036469730123997084,0.42857142857142855,2742,sgd,1.0,50,0.9,"(130, 130, 130, 130)"
2797,0.09240045799701843,0.4489299610894942,0.006122448979591836,2056,sgd,1.0,50,0.9,"(130, 130, 130, 130)"
2798,0.18384049123179555,0.0029175784099197666,0.006122448979591836,1371,sgd,1.0,50,0.9,"(130, 130, 130, 130)"
2799,0.2733348769259602,0.4467153284671533,0.006122448979591836,685,sgd,1.0,50,0.9,"(130, 130, 130, 130)"
2800,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,100,0.1,"(13, 13)"
2801,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,100,0.1,"(13, 13)"
2802,0.44893788289348463,0.4489299610894942,0.3115646258503401,2056,sgd,1.0,100,0.1,"(13, 13)"
2803,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,100,0.1,"(13, 13)"
